user_id,chunk_id,chunk_length,chunk_start_date,chunk_end_date
15869,chunk1,92,2022-09-28,2022-12-28
14491,chunk1,93,2022-07-25,2022-10-25
14491,chunk2,134,2023-07-07,2023-11-17
4465,chunk1,171,2020-09-10,2021-02-27
4317,chunk1,117,2020-09-14,2021-01-08
4317,chunk2,156,2021-01-10,2021-06-14
4317,chunk3,681,2021-06-26,2023-05-07
11837,chunk1,96,2021-04-04,2021-07-08
3721,chunk1,91,2020-03-02,2020-05-31
3721,chunk2,113,2021-06-21,2021-10-11
3249,chunk1,136,2020-07-27,2020-12-09
3249,chunk2,139,2021-05-20,2021-10-05
9556,chunk1,111,2021-03-05,2021-06-23
9556,chunk2,110,2022-09-03,2022-12-21
9556,chunk3,157,2023-06-11,2023-11-14
9556,chunk4,98,2023-11-26,2024-03-02
11514,chunk1,133,2022-06-04,2022-10-14
11514,chunk2,128,2022-10-16,2023-02-20
3154,chunk1,113,2023-01-19,2023-05-11
3444,chunk1,105,2019-11-23,2020-03-06
3729,chunk1,111,2020-01-26,2020-05-15
9498,chunk1,110,2022-05-26,2022-09-12
3480,chunk1,92,2020-12-28,2021-03-29
17643,chunk1,109,2023-05-08,2023-08-24
3772,chunk1,111,2020-01-28,2020-05-17
3772,chunk2,161,2021-04-17,2021-09-24
3772,chunk3,111,2021-11-07,2022-02-25
3772,chunk4,130,2022-09-19,2023-01-26
21590,chunk1,147,2023-10-25,2024-03-19
3960,chunk1,108,2019-12-27,2020-04-12
3368,chunk1,178,2019-12-06,2020-05-31
11694,chunk1,118,2020-12-27,2021-04-23
11694,chunk2,150,2021-09-23,2022-02-19
11771,chunk1,184,2020-11-27,2021-05-29
11771,chunk2,240,2022-05-30,2023-01-24
4162,chunk1,95,2023-05-12,2023-08-14
11910,chunk1,145,2023-05-03,2023-09-24
3481,chunk1,99,2021-07-20,2021-10-26
3227,chunk1,97,2019-12-08,2020-03-13
3226,chunk1,101,2022-02-10,2022-05-21
3260,chunk1,130,2022-01-24,2022-06-02
4094,chunk1,94,2020-08-31,2020-12-02
4094,chunk2,134,2021-03-17,2021-07-28
11227,chunk1,239,2021-08-02,2022-03-28
3305,chunk1,153,2019-12-28,2020-05-28
3305,chunk2,381,2021-01-26,2022-02-10
3305,chunk3,141,2022-05-03,2022-09-20
11768,chunk1,293,2020-11-13,2021-09-01
17363,chunk1,110,2022-04-15,2022-08-02
17363,chunk2,97,2023-09-14,2023-12-19
3223,chunk1,110,2020-02-12,2020-05-31
3892,chunk1,124,2019-11-27,2020-03-29
3892,chunk2,149,2020-07-31,2020-12-26
3892,chunk3,116,2021-04-03,2021-07-27
3892,chunk4,131,2021-08-09,2021-12-17
3975,chunk1,135,2022-02-02,2022-06-16
17607,chunk1,123,2021-10-03,2022-02-02
17607,chunk2,94,2022-02-04,2022-05-08
3726,chunk1,133,2020-11-29,2021-04-10
3726,chunk2,270,2021-10-26,2022-07-22
3726,chunk3,326,2022-08-11,2023-07-02
