user_id,date,chunkiduser,moisture_cheek,moisture_forearm,moisture_forehead,shininess_cheek,shininess_forehead,evenness_cheek,evenness_forearm,evenness_red_cheek,evenness_red_forearm,evenness_red_forehead,ita_cheek,ita_forearm,ita_forehead,melanin_cheek,melanin_forearm,melanin_forehead,vessels_den_cheek,vessels_den_forearm,vessels_den_forehead,skin_texture_cheek,skin_texture_forearm,skin_texture_forehead,fine_lines_cheek,fine_lines_forearm,fine_lines_forehead,deep_lines_forehead,cheek_age_dif,forearm_age_dif,forehead_age_dif,G_porph_L_MEAN_cheek,G_porph_L_MEAN_forehead,G_porph_NUMBER_cheek,G_porph_NUMBER_forehead,R_porph_L_MEAN_cheek,R_porph_L_MEAN_forehead,R_porph_NUMBER_cheek,R_porph_NUMBER_forehead,Y_porph_L_MEAN_cheek,Y_porph_L_MEAN_forehead,Y_porph_NUMBER_cheek,Y_porph_NUMBER_forehead,redness_cheek,redness_forearm,redness_forehead
3154,2023-04-23,chunk1,100.0,56.0,76.0,3.0,33.0,36.0,24.0,95.0,94.0,68.0,6.0,36.0,-9.0,19.0,10.0,29.0,2.0,1.0,4.0,19.0,14.0,53.0,0.0,0.0,10.0,1.0,-8.0,-10.0,-9.0,18.0,16.0,6.0,20.0,17.0,15.0,1.0,51.0,0.0,16.0,0.0,3.0,25.0,4.0,45.0
3154,2023-04-27,chunk1,21.0,46.0,48.0,3.0,37.0,63.0,44.0,85.0,92.0,66.0,6.0,30.0,-14.0,18.0,11.0,41.0,5.0,2.0,2.0,21.0,11.0,35.0,0.0,0.0,0.0,4.0,-5.0,-10.0,-10.0,20.0,15.0,13.0,55.0,21.0,14.0,1.0,45.0,21.0,12.0,1.0,3.0,38.0,7.0,60.0
3154,2023-05-07,chunk1,40.0,39.0,39.0,10.0,28.0,61.0,50.0,91.0,94.0,62.0,-8.0,37.0,-18.0,22.0,10.0,41.0,1.0,1.0,2.0,24.0,13.0,33.0,0.0,0.0,8.0,6.0,-5.0,-12.0,2.0,17.0,15.0,3.0,4.0,0.0,14.0,0.0,15.0,0.0,0.0,0.0,0.0,32.0,1.0,65.0
3154,2023-05-09,chunk1,14.0,39.0,38.0,2.0,27.0,45.0,52.0,96.0,92.0,69.0,13.0,40.0,-8.0,22.0,8.0,34.0,4.0,1.0,3.0,24.0,17.0,40.0,0.0,0.0,4.0,4.0,-7.0,-9.0,-8.0,19.0,16.0,4.0,19.0,0.0,15.0,0.0,30.0,0.0,16.0,0.0,3.0,22.0,3.0,44.0
3181,2022-01-22,chunk1,91.0,83.0,88.0,69.0,82.0,49.0,47.0,72.0,96.0,54.0,8.0,38.0,2.0,31.0,18.0,37.0,10.0,0.0,10.0,41.0,21.0,54.0,0.0,0.0,0.0,4.0,1.0,-15.0,15.0,20.0,16.0,42.0,21.0,22.0,19.0,51.0,138.0,22.0,16.0,5.0,12.0,48.0,2.0,58.0
3181,2022-01-23,chunk1,85.0,86.0,85.0,58.0,88.0,29.0,54.0,80.0,98.0,50.0,10.0,42.0,1.0,35.0,19.0,40.0,4.0,0.0,13.0,53.0,23.0,78.0,0.0,1.0,0.0,1.0,-11.0,-10.0,7.0,19.0,17.0,85.0,45.0,21.0,17.0,72.0,121.0,19.0,16.0,20.0,22.0,46.0,3.0,60.0
3181,2022-01-25,chunk1,96.0,99.0,95.0,65.0,82.0,10.0,47.0,79.0,85.0,42.0,5.0,31.0,-3.0,35.0,15.0,30.0,10.0,0.0,17.0,46.0,32.0,75.0,0.0,0.0,0.0,2.0,8.0,-7.0,3.0,14.0,12.0,24.0,31.0,14.0,14.0,33.0,119.0,13.0,12.0,12.0,25.0,46.0,22.0,73.0
3181,2023-04-18,chunk2,74.0,78.0,81.0,57.0,72.0,28.0,39.0,93.0,84.0,56.0,-23.0,3.0,-33.0,34.0,16.0,32.0,4.0,1.0,6.0,34.0,16.0,48.0,0.0,0.0,0.0,1.0,0.0,-14.0,6.0,18.0,15.0,27.0,19.0,17.0,15.0,38.0,95.0,18.0,16.0,8.0,7.0,40.0,-5.0,66.0
3181,2023-04-21,chunk2,55.0,57.0,49.0,62.0,100.0,32.0,29.0,93.0,83.0,71.0,-25.0,3.0,-19.0,31.0,17.0,30.0,1.0,1.0,2.0,30.0,1.0,31.0,0.0,0.0,0.0,0.0,2.0,-14.0,0.0,16.0,17.0,27.0,58.0,17.0,17.0,12.0,67.0,15.0,17.0,4.0,25.0,38.0,-2.0,30.0
3181,2023-04-22,chunk2,54.0,64.0,59.0,51.0,88.0,17.0,29.0,96.0,82.0,61.0,-21.0,-2.0,-31.0,29.0,14.0,31.0,2.0,0.0,4.0,38.0,1.0,32.0,0.0,17.0,0.0,3.0,-9.0,-13.0,6.0,16.0,14.0,33.0,21.0,15.0,14.0,21.0,51.0,15.0,14.0,5.0,6.0,29.0,2.0,49.0
